semilla,modo,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,asent_pasos,asent_ok,pasos_recuperacion,rec_mediana,rec_topes,rec_1,rec_2,rec_3,rec_4,rec_5,recuperacion_completa,tasa_recuperacion,varianza_potencia_viva,autocorrelacion1_potencia_viva,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6271,3650,1,92.0,92,0,92,92,92,92,92,1,0.010870,3.6315e-7,0.98835,0.9481,4.3401,0.3534,4.0437,4.2528,4.6645,157.10507,0.8354,0.001912,0.0850,0.00248,0.00248,0.07775,87,0.3023,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6407,200,1,39.0,39,0,39,39,39,39,39,1,0.025641,3.1412e-7,0.99276,0.8912,4.2801,0.5886,4.1018,4.2401,4.6042,179.09553,0.8531,0.001653,0.0827,0.00251,0.00251,0.07750,90,0.3049,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6542,200,1,35.0,35,0,35,35,35,35,35,1,0.028571,1.3943e-7,0.99260,0.7838,4.3662,0.0000,4.3755,4.1164,4.5751,166.16292,0.8653,0.001744,0.0803,0.00145,0.00145,0.07680,67,0.3078,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6678,200,1,34.0,34,0,34,34,34,34,34,1,0.029412,1.5140e-7,0.99771,0.9902,4.3760,0.4138,4.2073,4.2027,4.6107,159.66008,0.8686,0.001867,0.0774,0.00219,0.00219,0.07859,90,0.3120,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6814,200,1,34.0,34,0,34,34,34,34,34,1,0.029412,2.0852e-7,0.99415,0.9413,4.3498,0.8709,4.0664,4.3183,4.4767,186.30178,0.8926,0.001726,0.0761,0.00153,0.00153,0.07862,85,0.3127,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.6949,200,1,34.0,34,0,34,34,34,34,34,1,0.029412,1.7443e-7,0.96102,0.9982,4.2923,0.0000,3.8685,4.3052,4.5903,361.23312,0.8850,0.001760,0.0723,0.00164,0.00164,0.07747,80,0.3159,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7085,200,1,35.0,35,0,35,35,35,35,35,1,0.028571,3.1464e-8,0.97496,0.9837,4.3493,0.0000,4.1402,4.3148,4.5467,153.52936,0.8964,0.001914,0.0705,0.00077,0.00077,0.07790,59,0.3189,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7220,200,1,38.0,38,0,38,38,38,38,38,1,0.026316,2.1730e-7,0.99069,0.9992,4.3601,0.7978,4.1344,4.4135,4.5055,213.88804,0.9056,0.001664,0.0685,0.00172,0.00172,0.07731,84,0.3199,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7356,200,1,52.0,52,0,52,52,52,52,52,1,0.019231,1.6935e-7,0.99422,0.8366,4.3302,0.2499,4.1031,4.1041,4.4304,205.33027,0.9137,0.001699,0.0671,0.00187,0.00187,0.07714,77,0.3226,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7492,4250,1,593.0,593,0,593,593,593,593,593,1,0.001686,2.4328e-7,0.98862,0.9871,4.4083,0.8366,4.2348,4.2894,2.0736,96.01390,0.8231,0.001751,0.0916,0.00260,0.00260,0.07822,97,0.2947,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7627,1400,1,599.0,599,0,599,599,599,599,599,1,0.001669,4.0190e-7,0.99892,0.9837,4.2700,0.7049,4.1820,4.3527,1.6714,86.05377,0.8082,0.001751,0.0943,0.00225,0.00225,0.07864,90,0.2922,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7763,1300,1,605.0,605,0,605,605,605,605,605,1,0.001653,7.7964e-7,0.99873,0.9998,4.3195,0.5886,4.0049,4.3662,1.2273,88.75651,0.8020,0.001731,0.0973,0.00287,0.00287,0.07768,92,0.2877,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.7898,1250,1,624.0,624,0,624,624,624,624,624,1,0.001603,8.0084e-8,0.95602,0.9998,4.3441,0.5197,4.1202,4.3425,0.7936,71.61258,0.7969,0.001677,0.1005,0.00180,0.00180,0.07885,80,0.2850,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8034,1200,1,644.0,644,0,644,644,644,644,644,1,0.001553,1.7133e-7,0.96562,0.8813,4.3457,0.8600,4.1032,3.9210,0.4150,48.28496,0.7874,0.001713,0.1031,0.00337,0.00337,0.07644,90,0.2833,banda<=ruido,0
3,inicio,0.47,0.94,6.8,0.0079,1.105,25,18,4.1,0,0.8169,1150,1,665.0,665,0,665,665,665,665,665,1,0.001504,9.7745e-7,0.99508,0.9756,4.2693,0.9341,3.9584,4.1905,0.0714,52.85606,0.7818,0.001706,0.1054,0.00293,0.00293,0.07803,97,0.2792,banda<=ruido,0
