semilla,modo,potencia_base,beta,sigma,ruido,banda,t_optima,tc_ptc,exponente_ptc,dia_noche,luminosidad,asent_pasos,asent_ok,pasos_recuperacion,rec_mediana,rec_topes,rec_1,rec_2,rec_3,rec_4,rec_5,recuperacion_completa,tasa_recuperacion,varianza_potencia_viva,autocorrelacion1_potencia_viva,entropia_abs_local,entropia_piso_local,entropia_abs_global,entropia_piso_global,entropia_rel,huella,lambda,acoplamiento,tasa_error,potencia_viva,rango_potencia_viva,banda_potencia_viva,piso_ruido,valores_distintos,multiplicidad,diagnostico,saturacion_sensor
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.2102,700,1,177.0,177,0,177,177,177,177,177,1,0.005650,2.3083e-7,0.99176,0.9992,4.3214,0.0000,4.4394,4.3268,5.8752,14.75930,0.9223,0.001759,0.0919,0.00191,0.00191,0.07713,85,0.1178,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.2237,700,1,173.0,173,0,173,173,173,173,173,1,0.005780,1.4630e-7,0.99113,0.9710,4.2826,0.8912,4.4955,4.1870,5.9068,15.96788,0.9186,0.001845,0.0900,0.00204,0.00204,0.07780,85,0.1197,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.2373,700,1,169.0,169,0,169,169,169,169,169,1,0.005917,3.3693e-7,0.99453,0.9481,4.3984,0.4420,4.5005,4.2952,6.0567,18.94905,0.9299,0.001657,0.0891,0.00251,0.00251,0.07786,88,0.1204,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.2508,650,1,163.0,163,0,163,163,163,163,163,1,0.006135,4.1358e-7,0.99465,0.9097,4.3395,0.0000,4.5057,4.2887,6.1645,15.63427,0.9361,0.001899,0.0880,0.00217,0.00217,0.07802,92,0.1220,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.2644,650,1,159.0,159,0,159,159,159,159,159,1,0.006289,1.2591e-7,0.98313,0.9950,4.3760,0.4949,4.5162,4.1669,6.2328,15.39869,0.9376,0.001857,0.0864,0.00143,0.00143,0.07875,70,0.1225,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.2780,650,1,155.0,155,0,155,155,155,155,155,1,0.006452,2.8181e-7,0.97515,0.9341,4.3169,0.0000,4.4788,4.2110,6.3540,20.23435,0.9457,0.001704,0.0853,0.00205,0.00205,0.07850,85,0.1229,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.2915,650,1,152.0,152,0,152,152,152,152,152,1,0.006579,1.6902e-7,0.97813,0.8366,4.3716,0.0000,4.4682,4.2207,6.4760,16.50029,0.9542,0.001788,0.0844,0.00175,0.00175,0.07710,81,0.1251,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.3051,600,1,146.0,146,0,146,146,146,146,146,1,0.006849,7.9264e-8,0.96836,0.7838,4.3443,0.0000,4.4842,4.0215,6.5252,18.72469,0.9538,0.001685,0.0828,0.00156,0.00156,0.07740,73,0.1269,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.3186,600,1,143.0,143,0,143,143,143,143,143,1,0.006993,1.7298e-7,0.97761,0.9413,4.3642,0.0000,4.4626,4.0804,6.6471,15.40000,0.9626,0.001971,0.0818,0.00173,0.00173,0.07721,79,0.1274,banda<=ruido,0
1,parada,0.3,0.8,6.8,0.0079,1.105,22,18,3,0,1.3322,600,1,139.0,139,0,139,139,139,139,139,1,0.007194,4.5267e-8,0.96403,0.9998,4.2538,0.9902,4.2852,4.3066,6.7527,18.69228,0.9697,0.001563,0.0805,0.00176,0.00176,0.07800,90,0.1279,banda<=ruido,0
