ciclo,num_estados,delta_struct,var_error,p_reinicio,i_es,i_sm,derivada,contador_colapso
114,115,1,0.0,0.0,2.7267624663519264e-06,0.0009932375807742092,20.298096967464172,0
115,116,1,0.0,0.0,3.7421678268958706e-06,0.0012383932060405429,20.3048059153224,0
116,117,1,0.0,0.0,3.949703984481461e-06,0.0015511289700388593,20.312574285205024,0
117,118,1,0.0,0.0,3.3575942695642e-06,0.0015482131905385499,20.319166097080693,0
118,119,1,0.0,0.0,3.618862862879999e-06,0.0013745429005133742,20.323408626812277,0
119,120,1,0.0,0.0,3.888676628788496e-06,0.0015091422998248555,20.33515713511438,0
120,121,1,0.0,0.0,3.862761150921481e-06,0.001619445128455828,20.347779263567016,0
121,122,1,0.0,0.0,3.634761568414134e-06,0.0015545441315853018,20.3552760779248,0
122,123,1,0.0,0.0,2.9494503173855054e-06,0.001293819053111529,20.35316149914075,0
123,124,1,0.0,0.0,3.6574733673052704e-06,0.0014106558600684752,20.3396086419756,0
124,125,1,0.0,0.0,2.957606541299662e-06,0.0013276294273503963,20.326069623381848,0
