ciclo,num_estados,delta_struct,var_error,p_reinicio,i_es,i_sm,derivada,contador_colapso
226,227,1,0.0,0.0,3.0729556818882908e-06,0.0014618133065774823,20.701451303667312,0
227,228,1,0.0,0.0,3.619721653400802e-06,0.0014730539057677757,20.697856439963232,0
228,229,1,0.0,0.0,3.4064510429444803e-06,0.0015553655845915245,20.69484285667057,0
229,230,1,0.0,0.0,3.647741285452604e-06,0.001620986653958375,20.690983688475498,0
230,231,1,0.0,0.0,3.3954544100274468e-06,0.0015201591975113867,20.68828154567214,0
231,232,1,0.0,0.0,3.952211165753455e-06,0.0015251949402685788,20.691246520937483,0
232,233,1,0.0,0.0,3.414206430915236e-06,0.0015066892634439002,20.696898153928903,0
233,234,1,0.0,0.0,3.451811070205882e-06,0.0014160829889870833,20.695945752080192,0
234,235,1,0.0,0.0,3.4458245563619235e-06,0.001410246798576307,20.688868343379863,0
235,236,1,0.0,0.0,2.7423220664375605e-06,0.0012431562497317143,20.682163913463853,0
236,237,1,0.0,0.0,3.8504278567932885e-06,0.0012826244836477859,20.6827945311681,0
237,238,1,0.0,0.0,3.8053854251599228e-06,0.0016381363372889447,20.682362947402535,0
238,239,1,0.0,0.0,3.624564496338559e-06,0.0017064020286520214,20.673644490670736,0
239,240,1,0.0,0.0,3.1322090643973572e-06,0.0014333349831773686,20.670702104505025,0
240,241,1,0.0,0.0,3.538244181860344e-06,0.0013916701849196363,20.67166606764786,0
241,242,1,0.0,0.0,3.793814447511871e-06,0.0014760542985045402,20.67703819269638,0
242,243,1,0.0,0.0,3.5534607616821353e-06,0.0015161198977624228,20.68346229079412,0
243,244,1,0.0,0.0,2.6126029375585913e-06,0.0011735405343041507,20.68381666827222,0
244,245,1,0.0,0.0,4.119551920470988e-06,0.0012554497949321874,20.685781441162234,0
245,246,1,0.0,0.0,2.826666185500129e-06,0.0013558820098016385,20.685121506509752,0
246,247,1,0.0,0.0,3.4945301310553035e-06,0.0010992543080402383,20.684611105980455,0
247,248,1,0.0,0.0,3.0333591804551385e-06,0.0012060602025660335,20.689086668652596,0
248,249,1,0.0,0.0,3.202335526657031e-06,0.0012387363207174823,20.69210553768821,0
249,250,1,0.0,0.0,3.3811823122863197e-06,0.001387857768366951,20.695457506476146,0
250,251,1,0.0,0.0,3.5583833526093604e-06,0.001344928304450502,20.694920085353328,0
251,252,1,0.0,0.0,3.714367845563562e-06,0.0016323655530141629,20.6918813202151,0
252,253,1,0.0,0.0,3.511276460026332e-06,0.0014779903048967066,20.68984160296164,0
253,254,1,0.0,0.0,3.348787141830665e-06,0.0013910383740616148,20.688083056923787,0
254,255,1,0.0,0.0,3.541000346189069e-06,0.0014413563953265087,20.6835909037773,0
255,256,1,0.0,0.0,3.971992723437476e-06,0.0017488048905384412,20.67770933245535,0
256,256,1,0.0,0.0,3.034941281749285e-06,0.0014907680838513496,20.663973045320496,0
257,256,1,0.0,0.0,3.0708446848816107e-06,0.0012346658102184633,20.65776276046297,0
258,256,1,0.0,0.0,2.9886580210665513e-06,0.001158883868049122,20.655557543465033,0
259,256,1,0.0,0.0,2.989294881479267e-06,0.0011815482508263433,20.65123605913491,0
260,256,1,0.0,0.0,2.276775211740808e-06,0.0009951321973493171,20.6377740731616,0
261,256,1,0.0,0.0,3.7126939765803287e-06,0.0011860505555180388,20.63243578331164,0
262,256,1,0.0,0.0,3.4680607675972196e-06,0.001583347316032872,20.628983326604576,0
263,256,1,0.0,0.0,3.952294045159414e-06,0.0015745488138692472,20.6262234563402,0
264,256,1,0.0,0.0,3.367023264849744e-06,0.0016155009450178372,20.630206839428563,0
265,256,1,0.0,0.0,3.3820657704075773e-06,0.0014542749923461239,20.62924032280829,0
266,256,1,0.0,0.0,3.5839782658607042e-06,0.0014567252290808152,20.62416758224561,0
267,256,1,0.0,0.0,3.1194754378209427e-06,0.0015858871728299312,20.618800447367512,0
