anio,anillo_san_gabriel,arboles_san_gabriel,anillo_el_asiento,arboles_el_asiento,lluvia_mm_medida,inundacion_documentada
1606,0.898,23,0.718,29,,
1607,0.899,23,0.721,29,,
1608,1.052,23,0.976,29,,
1609,1.263,23,1.025,29,,1
1610,0.899,26,0.867,29,,
1611,0.894,26,0.96,29,,
1612,0.735,26,0.785,29,,
1613,0.824,27,0.671,29,,
1614,0.765,27,0.838,29,,
1615,0.773,28,0.837,29,,
1616,0.769,28,0.896,29,,
1617,0.829,28,0.83,29,,
1618,0.853,28,0.845,30,,1
1619,1.102,28,0.829,30,,
1620,1.315,28,1.021,30,,
1621,1.181,29,0.895,30,,
1622,0.863,29,0.711,30,,
1623,0.778,29,0.743,30,,
1624,0.655,29,0.634,30,,
1625,0.7,29,0.75,30,,
1626,0.811,29,0.852,30,,
1627,0.928,29,0.618,30,,
1628,0.849,29,0.391,30,,
1629,0.714,29,0.53,30,,
1630,0.727,29,0.709,30,,
1631,0.743,29,0.685,30,,
1632,0.808,29,0.861,30,,
1633,0.626,29,0.771,30,,
1634,0.824,29,1.016,30,,
1635,1.159,29,1.215,30,,
1636,1.064,29,0.908,31,,
1637,0.834,29,0.96,31,,
1638,0.914,29,0.81,31,,
1639,1.097,29,0.975,32,,
1640,0.933,29,1.006,32,,
1641,1.043,29,1.197,32,,
1642,1.401,29,1.284,33,,
1643,1.195,29,1.199,33,,
1644,0.781,29,0.973,33,,
1645,0.697,29,0.809,33,,
1646,0.721,28,0.82,33,,
1647,0.655,28,0.814,33,,1
1648,1.04,29,1.126,33,,
1649,0.896,29,0.864,34,,
1650,0.723,29,0.827,35,,
1651,0.807,29,0.968,35,,
1652,1.223,29,1.189,35,,
1653,1.486,29,1.455,35,,
1654,1.32,29,1.391,36,,
1655,1.232,29,1.5,36,,
1656,0.987,29,1.288,36,,
1657,1.637,30,1.569,37,,
1658,1.376,31,1.188,38,,
1659,1.165,32,1.023,38,,
1660,1.077,33,1.167,38,,
1661,1.037,33,1.076,38,,
1662,0.958,33,1.029,38,,
1663,0.77,33,1.243,38,,
1664,0.606,33,1.031,38,,
1665,0.646,33,0.99,38,,
1666,0.914,33,1.235,38,,
1667,0.856,33,1.134,38,,
1668,0.879,33,1.092,38,,
1669,0.998,33,1.038,38,,
1670,1.177,33,1.249,39,,
1671,0.977,34,0.982,39,,
1672,1.172,34,1.101,39,,
1673,1.1,34,1.269,39,,
1674,1.052,34,1.29,39,,
1675,1.081,35,1.163,39,,
1676,1.141,35,1.224,39,,
1677,0.774,35,0.933,39,,
1678,0.577,35,0.652,39,,
1679,0.741,35,0.782,39,,
1680,0.801,35,1.048,39,,
1681,0.765,35,0.855,38,,
1682,0.714,35,0.964,38,,
1683,0.847,36,1.047,39,,
1684,0.834,36,1.012,40,,
1685,0.646,36,0.931,40,,
1686,0.806,36,0.992,40,,
1687,0.823,36,1.17,40,,
1688,0.859,36,1.06,40,,
1689,1.209,36,1.175,40,,
1690,1.42,36,1.033,40,,
1691,1.337,36,1.055,40,,
1692,1.151,36,1.029,41,,
1693,0.783,36,0.831,41,,
1694,1.132,36,1.1,41,,
1695,1.173,36,1.226,41,,
1696,0.729,36,0.53,41,,
1697,0.879,36,0.993,41,,
1698,0.901,36,1.133,41,,
1699,0.898,36,0.962,41,,
1700,0.737,36,0.82,40,,
1701,0.877,36,1.246,38,,
1702,0.922,36,0.963,38,,
1703,0.91,36,0.952,38,,
1704,0.882,36,1.003,38,,
1705,0.717,36,0.897,38,,
1706,0.704,36,0.87,38,,
1707,0.862,36,1.057,38,,
1708,1.074,36,1.005,38,,
1709,0.984,36,1.069,38,,
1710,1.145,37,0.916,39,,
1711,1.237,37,1.041,39,,
1712,1.526,37,1.065,39,,
1713,1.333,37,0.957,39,,
1714,1.366,37,0.985,39,,
1715,0.999,37,0.953,40,,
1716,0.847,37,0.961,40,,
1717,0.823,37,0.846,40,,
1718,0.928,38,1.014,40,,
1719,1.054,38,0.973,40,,
1720,1.305,39,1.107,40,,
1721,1.053,39,0.951,40,,
1722,0.849,39,0.925,40,,
1723,0.816,39,1.117,40,,
1724,0.903,39,1.104,40,,
1725,0.852,39,0.867,41,,
1726,0.796,39,0.947,41,,
1727,0.713,39,0.788,41,,
1728,1.03,39,1.059,41,,
1729,0.87,39,0.501,41,,
1730,0.805,39,0.766,41,,
1731,0.838,39,0.826,41,,
1732,0.746,39,0.828,41,,
1733,0.669,39,0.902,42,,
1734,0.865,39,0.897,42,,
1735,0.882,39,1.052,42,,
1736,0.954,40,0.717,42,,
1737,0.896,40,1.003,42,,
1738,1.064,40,1.185,43,,
1739,1.225,40,1.018,43,,
1740,0.954,40,0.994,43,,
1741,0.954,40,1.104,43,,
1742,1.248,40,1.072,43,,
1743,1.07,40,1.103,43,,
1744,1.012,40,1.327,43,,
1745,1.09,41,1.241,43,,
1746,0.899,41,1.238,44,,
1747,1.488,41,1.309,44,,
1748,1.293,42,1.199,44,,1
1749,1.493,42,1.086,45,,
1750,1.544,42,1.191,45,,
1751,1.142,42,0.925,45,,
1752,1.0,42,0.894,45,,
1753,1.09,42,0.891,45,,
1754,1.158,42,0.916,45,,
1755,1.28,43,0.955,45,,
1756,1.015,43,0.886,45,,
1757,0.787,43,0.455,45,,
1758,0.767,43,0.813,45,,
1759,0.516,44,0.639,45,,
1760,0.826,44,0.845,45,,
1761,0.921,44,0.973,46,,
1762,0.937,45,0.999,46,,
1763,1.172,45,1.147,46,,
1764,1.106,45,1.307,46,,
1765,1.131,45,1.277,46,,
1766,0.938,45,1.162,45,,
1767,0.991,45,1.108,45,,
1768,0.88,45,0.975,45,,
1769,1.012,45,1.152,45,,
1770,1.182,45,1.158,46,,
1771,1.027,45,0.815,46,,
1772,0.86,45,0.795,46,,
1773,0.77,45,0.862,46,,
1774,0.845,45,0.799,46,,
1775,0.783,45,1.006,46,,
1776,0.745,45,1.247,46,,
1777,0.93,45,1.145,46,,
1778,0.907,45,1.118,46,,
1779,0.812,45,1.019,47,,
1780,0.907,45,1.081,47,,
1781,0.723,45,0.656,47,,
1782,0.58,45,0.772,47,,
1783,0.765,45,0.999,47,,1
1784,0.9,45,0.836,47,,
1785,0.885,45,0.99,47,,
1786,0.974,45,1.068,47,,
1787,0.965,45,0.891,47,,
1788,0.845,45,0.956,47,,
1789,0.77,45,0.936,47,,
1790,1.148,45,0.977,47,,
1791,0.942,45,0.784,47,,
1792,1.071,45,1.101,47,,
1793,1.092,45,0.96,47,,
1794,1.072,45,0.971,47,,
1795,1.573,46,1.234,47,,
1796,1.435,46,1.124,47,,
1797,1.12,45,0.938,47,,
1798,1.052,46,1.001,47,,
1799,1.112,46,0.841,47,,
1800,1.055,46,0.899,47,,
1801,1.16,46,0.997,47,,
1802,0.947,46,0.952,47,,
1803,1.016,46,0.906,47,,
1804,1.145,46,1.027,47,,
1805,1.08,46,0.887,47,,
1806,1.05,46,0.939,47,,
1807,0.872,46,0.791,47,,
1808,0.964,46,0.81,47,,
1809,1.04,46,0.979,47,,
1810,1.179,46,1.242,47,,
1811,1.305,45,1.163,48,,
1812,1.051,45,0.956,48,,
1813,0.946,45,0.905,49,,
1814,0.803,45,0.903,49,,
1815,1.296,45,0.902,50,,
1816,0.921,45,0.938,50,,
1817,0.787,45,0.787,50,,
1818,0.827,45,0.816,50,,
1819,0.73,45,0.833,50,,
1820,0.893,45,0.861,50,,
